Slovenian,English
dirke,races
dober,good
glasov,votes
karanteno,quarantine
končal,finished
korak,step
mogel,could
mogli,could
morejo,they can
moški,men
naslov,address
oba,both of them
obstaja,it exists
obveznosti,obligations
okolje,the environment
okrog,around
on,he
oz,or
pojasnili,explained
pomagali,helped
predstavniki,representatives
prejel,received
premalo,not enough
preteklosti,of the past
pride,he comes
primerjavi,comparison
pripravljeni,ready
redno,regularly
rezultat,result
sodelovanje,cooperation
sprememb,changes
sprva,at first
svoja,their own
trg,market
uspeh,success
uspešno,successfully
vem,i know
večina,the majority
vrsti,species
vsaki,to everyone
zadnje,the last
zaščite,protection
zdravstvenega,medical
zoper,against
člani,members
Število,Number
Hrvaško,Croatia
Kacin,Kacin
Minister,Minister
Zelo,A lot
denar,money
dvakrat,twice
energije,energy
hrano,food
izvedbo,implementation
javnega,public
meja,border
meji,border
meseca,month
moč,power
možno,possible
njo,her
objavil,published
obliki,form
območja,areas
ostalo,the rest
pač,just
policistov,police officers
polovici,half
postopek,procedure
potekal,took place
potrjenih,confirmed
pravico,right
prednost,an advantage
predvidoma,presumably
prihodnosti,of the future
priložnosti,opportunities
prometa,traffic
prostoru,space
slovenskega,Slovenian
slovensko,Slovenian
sprejela,accepted
svetovnega,global
takšno,such
tekem,matches
tisoè,thousand
toda,but
trener,coach
trenutku,moment
uvrstitev,ranking
ve,he knows
večjih,larger ones
vlado,the government
vlogo,role
znaša,amounts to
časih,times
čelu,forehead
številni,numerous
Jesenice,Jesenice
Luka,Luka
Nova,A new one
Pahor,Pahor
Republike,Republic
Slovenci,Slovenes
Slovenski,Slovenian
Te,These
ameriškega,American
delavcev,workers
dodala,she added
dodatne,additional
dogodka,of the event
ekipo,the team
epidemiji,epidemic
fazi,phase
javni,public
kakšna,what kind
klopi,benches
letom,years
minuti,minutes
moralo,morality
moštva,teams
nazadnje,lastly
naèin,way
načrt,plan
nista,they are not
njegovega,his
novinarski,journalistic
odločili,decided
oseba,a person
otrokom,to the children
piše,it says
podjetju,to the company
področja,areas
politiki,politicians
potekala,took place
pove,he says
prihaja,is coming
prodajo,sale
prostorih,premises
prvenstva,championships
prvenstvu,championship
rad,like
različne,different
skupni,common
slovenska,Slovenian
smrtnih,mortal
sprejeli,accepted
strokovno,professionally
temperature,temperature
testiranje,testing
trenerja,coach
ugotovili,found out
umrl,died
uprave,administration
veliki,big
vladni,governmental
vrat,neck
vrnil,returned
zajezitev,containment
začasno,temporarily
zaščitnih,protective
zdravstveni,medical
zdravstveno,medically
zmagi,wins
šol,schools
številu,number
živali,animals
živi,lives
DZ,DZ
Delo,Work
Franciji,France
K,K
Mariboru,Maribor
Največ,The most
TV,TV
Večina,The majority
ameriške,American
ameriški,American
besede,words
celotno,the whole
center,center
daleč,far away
direktorja,director
dirki,races
dodatnih,additional
dogodkov,events
dostop,access
državljani,citizens
fotografije,photographs
gospodarske,economic
igra,the game
igralec,an actor
intenzivno,intensely
izziv,a challenge
kazen,punishment
klub,club
klubu,the club
končno,finally
lestvici,the scale
ljudem,to people
meri,measure
mest,cities
mestih,places
mnenje,opinion
moremo,we can
nadaljuje,continues
namesto,instead of
namreè,namely
naslednji,the next one
naša,ours
nemški,German
nesreče,accidents
njega,him
njena,hers
nobene,none
obisk,visit
odgovornost,responsibility
odprli,opened
omogoča,enables
oči,eyes
padec,fall
pandemijo,pandemic
podpore,support
popoldne,in the afternoon
poročali,reported
posledic,consequences
posledica,consequence
poudarila,emphasized
poudarja,emphasizes
pozneje,later
pravo,right
prebivalstva,population
prepričan,convinced
prihodnji,future
proces,process
rekel,said
resnici,to the truth
resno,seriously
roko,hand
seznamu,list
središču,center
srečo,luck
starosti,age
stoletja,centuries
storitve,services
takšnih,such
tednu,a week
tujini,abroad
tveganje,risk
varnostne,security
velikih,big ones
vemo,we know
večini,to the majority
višje,higher
vode,of water
vrh,top
vrste,species
vsa,all of them
zagotoviti,to provide
zapora,prison
zgodbe,stories
èas,Time
èasu,time
živo,alive
žrtve,victims
Bil,Was
Celzija,Celsius
Janez,John
Kitajska,China
Koroškem,Carinthia
Letos,This year
Ljudje,People
Morda,Maybe
NBA,NBA
NSi,NSi
Nekaj,Something
RS,RS
Sicer,Otherwise
Skupno,Total
Slovenska,Slovenian
boljši,better
cene,prices
centru,center
dali,gave
dne,day
dneva,of the day
dnevno,daily
dobra,good
dogodek,the event
domače,homemade
dosegli,achieved
drug,another
državljane,citizens
ekipi,to the team
film,movie
gledalcev,viewers
gotovo,for sure
igral,played
igralci,players
igrišču,playground
imeti,to have
informacij,information
intenzivni,intense
izredno,extraordinary
kakor,like
karantene,quarantine
knjige,books
ligo,league
mejo,border
mene,me
mladi,young people
moje,mine
nadaljevanju,continuation
nagrado,award
največja,the largest
največjih,the largest
naloge,tasks
napad,attack
napoveduje,predicts
navodila,instructions
nekoč,once upon a time
njihov,theirs
ocenil,assessed
odločil,decided
odnos,relationship
ogromno,huge
omejitve,restrictions
opraviti,to complete
osnovne,basic
ostajajo,they remain
ostal,remained
pozna,knows
predstavil,presented
prepoved,prohibition
preprečevanje,prevention
pridejo,they come
prinaša,brings
pričakujejo,they expect
projekta,of the project
prostorov,premises
prvaka,champion
rast,growth
seznam,list
skupino,the group
sodišča,courts
stiku,contact
strah,fear
turizem,tourism
ulicah,the streets
vedo,they know
večino,the majority
videli,seen
vožnje,driving
vprašanja,questions
vrst,species
vsemi,everyone
zaposlene,employees
zaposlenimi,employees
zbrali,collected
zgodi,happens
zgodovini,history
zmage,victories
širjenje,spread
šolah,schools
šoli,school
žal,sorry
Aleš,Ales
Biden,Biden
Ena,One
Hrvaška,Croatia
Hrvaške,Croatia
Naša,Ours
Nekateri,Some of them
Vodstvo,Management
civilne,civil
daje,gives
dal,gave
dejanje,action
dejansko,actually
delavci,workers
desetih,ten
dirko,race
dodajajo,they add
dopoldne,in the morning
državami,countries
državljanov,citizens
državno,national
epidemija,an epidemic
evropskega,European
evropski,European
gibanje,movement
gospodarstvu,economy
govori,speak
hudo,badly
kakšne,what kind
komisija,commission
kriza,crisis
krogu,circle
manjši,smaller
menijo,they think
mnogi,many
moj,mine
moškega,a man
nadaljevala,continued
najbolje,the best
najboljše,the best
najboljših,of the best
namen,purpose
njihovi,theirs
noč,night
ocenah,evaluations
odkrili,discovered
pandemija,pandemic
podpira,supports
pokazal,showed
ponekod,in some places
potrdil,confirmed
potrebe,needs
poudarili,emphasized
pozval,urged
pravilno,correctly
pravzaprav,actually
predlogu,proposal
predvideva,assumes
preiskavo,investigation
prejeli,received
problem,problem
prodaja,sales
program,program
prostore,premises
račun,account
regiji,the region
rešitve,solutions
situacijo,the situation
skrajno,extreme
spletu,online
stikov,contacts
stroke,professions
strokovnjaki,experts
testiranj,testing
tožilstvo,prosecutor's office
trening,training
tretje,the third
trga,of the market
tukaj,here
udeležencev,of participants
upoštevati,to take into account
ustrezno,accordingly
varno,safely
velikega,a big one
vožnjo,driving
vpliva,influence
vrednosti,values
včasih,sometimes
zunanji,external
èe,eh
časom,over time
četrti,fourth
človek,man
človeka,man
športne,sports
številke,numbers
življenj,lives
Ameriški,American
Andrej,Andrei
Brez,Without
Kdo,Who
Ljubljane,Ljubljana
Novi,New ones
Olimpije,Olympia
PU,PU
Predvsem,Mainly
Primorskem,Primorsko
STA,STA
Se,Yes
Slovenske,Slovenian
Treba,You have to
Vsak,Everyone
aktivno,active
avtomobilov,cars
bolnike,patients
cepivo,the vaccine
ceste,roads
delovno,working
desno,right
dobi,get
dodaja,he adds
dokler,until
dovoljenje,permission
družini,to the family
državnih,of the state
ekip,teams
fizično,physically
glavo,the head
hotel,the hotel
hrvaški,Croatian
ime,name
imenu,name
infrastrukturo,infrastructure
isti,the same
izgubili,lost
izjavi,declare
izpostavil,pointed out
izvajajo,they perform
javnem,public
kolikor,as much as
komisije,commissions
končala,finished
krajih,places
kraju,place
najvišje,the highest
najvišji,the highest
našel,found
njihovem,theirs
njihovih,theirs
notranje,internal
občine,municipality
oceno,assessment
odločitve,decisions
omrežja,networks
opozorili,warned
opremo,equipment
osebi,person
osebo,person
ostala,the rest
pismu,letter
pogodbo,contract
pokala,cup
poleti,in the summer
političnih,political
polovico,half
pomembna,important
poročila,reports
poslancev,deputies
postopku,procedure
postopno,gradually
potrdila,certificates
potrebna,necessary
potrebujejo,they need
pravic,rights
prihodkov,revenues
prihodnjega,the future
priprave,preparations
razdalje,distances
raziskave,research
razvoja,development
rekord,a record
resnično,truly
socialne,social
sporedu,schedule
staršev,parents
takšen,such
tja,there
tleh,the ground
tremi,three
tujih,foreign ones
uporaba,use
urada,office
ureditev,arrangement
varstvo,protection
vedeti,to know
velikem,big
vnaprej,in advance
vojne,wars
vojske,army
volitev,elections
vrhu,the top
vsakega,each one
vzel,took
zadnja,the last one
zadovoljen,satisfied
zagotovila,assurances
zakonodaje,legislation
zaèela,started
začne,starts
znan,known
Španiji,Spain
šla,she went
športa,sports
športni,sports
BiH,Bosnia and Herzegovina
Evrope,of Europe
Evropske,European
Le,Only
Los,Moose
Ministrstvo,Ministry
Nemčija,Germany
Projekt,Project
Roglič,Roglič
So,They are
Srbiji,Serbia
Tega,This one
Zakaj,Why
aktivnih,active
alkohola,of alcohol
ameriških,American
barve,colors
blaga,goods
bolezen,disease
bonov,vouchers
de,de
dejanj,actions
dogovor,an agreement
dolga,debt
državnega,state
edini,the only one
ene,one
evra,euro
evropsko,European
gospodarsko,economically
govorec,speaker
igro,the game
inštituta,of the institute
izgubil,lost
izgubila,lost
izvajanje,implementation
javne,public
jaz,me
kadar,when
karieri,career
kazni,punishments
knjigo,a book
koalicije,coalitions
kolesarske,cycling
krizi,crisis
letalski,aviation
levo,to the left
ljubljanski,Ljubljana
lokacije,locations
mama,mom
minuli,past
misli,thoughts
mislim,i think
mlade,young people
mnenja,opinions
morem,i can
najti,to find
namenom,purposes
navedel,stated
našem,ours
nekdaj,used to be
nekdanjega,of the former
neposredno,directly
nevarno,dangerous
nogometne,soccer
obe,both
objavila,published
obolelih,the sick
občina,municipality
občutek,feeling
odgovor,the answer
odlično,excellent
odprte,open
okolja,environment
okužbi,infection
organizaciji,to the organization
ostati,to stay
osvojil,conquered
oče,father
pesem,a song
pogoje,conditions
pojasnjuje,explains
policijski,police
polno,full
pomagajo,they help
pomen,meaning
posamezniki,individuals
poseben,special
postalo,became
potrebovali,needed
povprečju,the average
pozornosti,attention
počasi,slowly
pravice,rights
pravila,the rules
predstavljajo,represent
preprečiti,to prevent
prepričani,convinced
programa,program
prvak,champion
prvenstvo,championship
raje,rather
razlogov,reasons
redu,ok
reprezentance,national team
republike,republic
restavracije,restaurants
rokah,hands
sedmih,seven
sin,son
sina,son
skupna,common
slabše,worse
slike,pictures
slovenskem,Slovenian
sodelovanja,cooperation
sodišču,to the court
spominja,reminds
spremenilo,changed
spreminja,changes
strank,customers
stranka,customer
stranki,to the customer
svetovne,global
svetovnem,global
svojimi,their own
telesno,physically
testiranja,testing
tik,just
tiskovne,press
turističnih,touristic
ugotavlja,notes
unije,of the Union
varnosti,security
veljajo,are valid
večja,bigger
večjo,bigger
visoka,high
vojakov,soldiers
voznik,the driver
vožnji,driving
vprašanj,questions
vrsto,type
vsakem,to everyone
zagotavlja,provides
zahteval,demanded
zaprti,closed
zapustil,left
zavarovanje,insurance
začelo,started
začetek,the beginning
zaščito,protection
zbor,chorus
zdravnika,doctor
zgodba,story
zmagal,won
zvezdnik,star
èez,cheez
čimer,what
članov,members
škodo,too bad
šola,school
športnih,sports
športu,sport
Evropo,Europe
Gantar,Gantar
Hkrati,At the same time
Hojs,Hojs
Italije,of Italy
Kitajskem,China
Koper,Dill
Lani,Last year
Ljubljano,Ljubljana
Maribora,Maribor
Mislim,I mean
Najprej,First of all
No,Well
Podobno,Similarly
Pomembno,Important
Počivalšek,A resting place
RTV,RTV
Takoj,Immediately
Trumpa,Trump
Twitterju,Twitter
banke,banks
besedo,a word
boljše,better
bolnika,the patient
bolnišnico,the hospital
cerkve,churches
cesto,road
covidu,covid
dejavnost,activity
delujejo,they work
dogajanje,happening
dogodke,events
določene,specified
domačem,native
domove,homes
doživela,experienced
društva,societies
družinske,family
enoti,units
evropska,European
filma,movie
finančne,financial
finančno,financially
gasilci,firefighters
glasbo,music
gostov,guests
govorimo,we speak
gradnje,construction
hospitaliziranih,hospitalized
imate,you have
klubov,clubs
knjig,books
koli,whatever
koronavirusu,coronavirus
kraj,place
krizo,crisis
kršitev,violation
lep,beautiful
ljudmi,people
lokalnih,local
malce,a little bit
manjša,smaller
milijone,millions
mnogih,many
moram,i have to
mrežo,network
nadaljujejo,they continue
najverjetneje,most likely
največje,the largest
nameravajo,they intend to
narediti,to do
nastop,performance
našega,ours
negi,care
nevarnosti,dangers
nimamo,we don't have
njihovega,theirs
novinarji,journalists
noči,nights
oblast,authority
obravnavali,treated
obraz,face
odloka,decree
odnosov,relationships
odziv,response
odzval,responded
okužba,infection
okuženi,infected
opravil,completed
organi,organs
organizacij,organizations
osebno,personally
oskrbo,supply
padel,fell
parlamenta,of Parliament
pesmi,songs
plače,salaries
podatki,data
pogovoru,conversation
polovica,half
pomaga,it helps
pomoè,help
ponudbo,offer
posameznih,individual
posameznika,individual
poslali,sent
poslovanja,business
postavili,set up
postopkov,procedures
potovanja,travel
poziva,urges
pozvala,urged
predsednica,president
predstavili,presented
predstavnikov,representatives
prevzel,took over
pridobiti,to acquire
prijatelji,friends
primerno,appropriate
pripravljena,ready
projektov,projects
prometne,traffic
prostem,freely
radi,like
razpisa,tender
razsežnosti,dimensions
rekli,said
rezultati,the results
sile,forces
situacije,situations
skrb,concern
smejo,they laugh
socialno,socially
spomin,memory
spomladi,in the spring
stanovalcev,residents
stara,old
stari,dude
stik,contact
stike,contacts
takšna,such
takšne,such
tedaj,then
tekma,match
tekmah,matches
tekmovanje,competition
tekmovanju,competition
teku,running
testirali,tested
tistega,that one
traja,lasts
trajalo,lasted
trend,trend
trenutek,moment
trgovine,shops
trideset,thirty
uporabljajo,they use
upoštevali,taken into account
valu,the wave
vedel,knew
vedeli,knew
veter,the wind
vidijo,they see
vidim,i see
višji,higher
vlogi,roles
vodstvom,management
vojni,war
volitvah,elections
vrnila,returned
vrniti,to return
zadnjega,the last one
zaenkrat,for now
zagotovili,provided
zahtevala,requested
zanj,for him
zapored,consecutively
zaposlenim,employees
zavarovanja,insurance
zavoda,institution
zaèetku,the beginning
začetkom,the beginning
začnejo,they start
zdravja,of health
zdravljenje,treatment
združenja,associations
zgodbo,the story
znanje,knowledge
Èe,Yes
èasa,Time
šteje,counts
Ampak,But
Doslej,So far
Drugi,Others
Dunaju,Vienna
Evropski,European
Hrvaški,Croatian
Jelko,Christmas tree
Jelko,Christmas tree
Kitajske,of China
Moja,Mine
NPU,NPU
Naj,Let
Njegova,His
Novo,New
Predlog,Proposal
Res,Really
SAB,SAB
Tomaž,Thomas
Upam,I hope so
Zavod,Institute
avstrijski,Austrian
beseda,word
cena,the price
dejstva,the facts
dejstvo,fact
delal,worked
delala,worked
delno,partially
delom,working
deloval,worked
delovne,work
dneve,days
dobrega,good
dodatka,allowance
domači,domestic
dovoljeno,permitted
drevesa,trees
drugačno,different
drugod,elsewhere
družba,society
družbenih,social
družina,family
enake,the same
epidemiološke,epidemiological
evropskem,European
finalu,the final
fotografijo,photo
francoska,French
glas,voice
glasbe,music
gospodarskih,economic
gospodarstva,economy
grozi,threatens
hitrost,speed
